cycle, observation, reward, action, explored, explore_rate, total reward, average reward
4877, 0, 0, 1, 0, 9.88131e-324, 3153, 0.646504
4878, 0, 0, 0, 0, 9.88131e-324, 3153, 0.646371
4879, 0, 1, 0, 0, 9.88131e-324, 3154, 0.646444
4880, 0, 1, 0, 0, 9.88131e-324, 3155, 0.646516
4881, 0, 1, 0, 0, 9.88131e-324, 3156, 0.646589
4882, 0, 1, 0, 0, 9.88131e-324, 3157, 0.646661
4883, 1, 0, 1, 0, 9.88131e-324, 3157, 0.646529
4884, 1, 1, 0, 0, 9.88131e-324, 3158, 0.646601
4885, 0, 1, 0, 0, 9.88131e-324, 3159, 0.646673
4886, 0, 1, 0, 0, 9.88131e-324, 3160, 0.646746
4887, 0, 1, 0, 0, 9.88131e-324, 3161, 0.646818
4888, 0, 1, 0, 0, 9.88131e-324, 3162, 0.64689
4889, 0, 1, 0, 0, 9.88131e-324, 3163, 0.646963
4890, 0, 1, 0, 0, 9.88131e-324, 3164, 0.647035
4891, 0, 1, 0, 0, 9.88131e-324, 3165, 0.647107
4892, 0, 1, 0, 0, 9.88131e-324, 3166, 0.647179
4893, 0, 1, 0, 0, 9.88131e-324, 3167, 0.647251
4894, 0, 1, 1, 0, 9.88131e-324, 3168, 0.647323
4895, 0, 0, 0, 0, 9.88131e-324, 3168, 0.647191
4896, 0, 1, 1, 0, 9.88131e-324, 3169, 0.647263
4897, 0, 0, 0, 0, 9.88131e-324, 3169, 0.647131
4898, 0, 1, 0, 0, 9.88131e-324, 3170, 0.647203
4899, 1, 0, 1, 0, 9.88131e-324, 3170, 0.647071
4900, 0, 0, 0, 0, 9.88131e-324, 3170, 0.646939
4901, 0, 1, 0, 0, 9.88131e-324, 3171, 0.647011
4902, 1, 0, 1, 0, 9.88131e-324, 3171, 0.646879
4903, 1, 1, 0, 0, 9.88131e-324, 3172, 0.646951
4904, 0, 1, 0, 0, 9.88131e-324, 3173, 0.647023
4905, 0, 1, 0, 0, 9.88131e-324, 3174, 0.647095
4906, 1, 0, 1, 0, 9.88131e-324, 3174, 0.646963
4907, 0, 0, 0, 0, 9.88131e-324, 3174, 0.646831
4908, 1, 0, 1, 0, 9.88131e-324, 3174, 0.646699
4909, 0, 0, 0, 0, 9.88131e-324, 3174, 0.646568
4910, 1, 0, 1, 0, 9.88131e-324, 3174, 0.646436
4911, 0, 0, 1, 0, 9.88131e-324, 3174, 0.646304
4912, 1, 1, 0, 0, 9.88131e-324, 3175, 0.646376
4913, 0, 1, 0, 0, 9.88131e-324, 3176, 0.646448
4914, 1, 0, 1, 0, 9.88131e-324, 3176, 0.646317
4915, 0, 0, 0, 0, 9.88131e-324, 3176, 0.646185
4916, 0, 1, 0, 0, 9.88131e-324, 3177, 0.646257
4917, 1, 0, 1, 0, 9.88131e-324, 3177, 0.646126
4918, 0, 0, 1, 0, 9.88131e-324, 3177, 0.645994
4919, 0, 0, 0, 0, 9.88131e-324, 3177, 0.645863
4920, 0, 1, 0, 0, 9.88131e-324, 3178, 0.645935
4921, 1, 0, 1, 0, 9.88131e-324, 3178, 0.645804
4922, 1, 1, 0, 0, 9.88131e-324, 3179, 0.645876
4923, 0, 1, 0, 0, 9.88131e-324, 3180, 0.645948
4924, 0, 1, 0, 0, 9.88131e-324, 3181, 0.646019
4925, 0, 1, 0, 0, 9.88131e-324, 3182, 0.646091
4926, 0, 1, 0, 0, 9.88131e-324, 3183, 0.646163
4927, 0, 1, 1, 0, 9.88131e-324, 3184, 0.646235
4928, 0, 0, 0, 0, 9.88131e-324, 3184, 0.646104
4929, 0, 1, 0, 0, 9.88131e-324, 3185, 0.646176
4930, 1, 0, 1, 0, 9.88131e-324, 3185, 0.646045
4931, 0, 0, 1, 0, 9.88131e-324, 3185, 0.645914
4932, 0, 0, 0, 0, 9.88131e-324, 3185, 0.645783
4933, 0, 1, 0, 0, 9.88131e-324, 3186, 0.645854
4934, 0, 1, 0, 0, 9.88131e-324, 3187, 0.645926
4935, 0, 1, 0, 0, 9.88131e-324, 3188, 0.645998
4936, 0, 1, 0, 0, 9.88131e-324, 3189, 0.64607
4937, 0, 1, 0, 0, 9.88131e-324, 3190, 0.646141
4938, 0, 1, 0, 0, 9.88131e-324, 3191, 0.646213
4939, 0, 1, 0, 0, 9.88131e-324, 3192, 0.646285
4940, 0, 1, 0, 0, 9.88131e-324, 3193, 0.646356
4941, 1, 0, 1, 0, 9.88131e-324, 3193, 0.646225
4942, 1, 1, 0, 0, 9.88131e-324, 3194, 0.646297
4943, 0, 1, 0, 0, 9.88131e-324, 3195, 0.646369
4944, 0, 1, 0, 0, 9.88131e-324, 3196, 0.64644
4945, 0, 1, 1, 0, 9.88131e-324, 3197, 0.646512
4946, 0, 0, 0, 0, 9.88131e-324, 3197, 0.646381
4947, 0, 1, 0, 0, 9.88131e-324, 3198, 0.646452
4948, 0, 1, 0, 0, 9.88131e-324, 3199, 0.646524
4949, 1, 0, 0, 0, 9.88131e-324, 3199, 0.646393
4950, 1, 0, 1, 0, 9.88131e-324, 3199, 0.646263
4951, 0, 0, 0, 0, 9.88131e-324, 3199, 0.646132
4952, 0, 1, 1, 0, 9.88131e-324, 3200, 0.646204
4953, 0, 0, 0, 0, 9.88131e-324, 3200, 0.646073
4954, 0, 1, 0, 0, 9.88131e-324, 3201, 0.646145
4955, 1, 0, 1, 0, 9.88131e-324, 3201, 0.646014
4956, 1, 1, 0, 0, 9.88131e-324, 3202, 0.646086
4957, 0, 1, 0, 0, 9.88131e-324, 3203, 0.646157
4958, 0, 1, 0, 0, 9.88131e-324, 3204, 0.646228
4959, 0, 1, 1, 0, 9.88131e-324, 3205, 0.6463
4960, 0, 0, 1, 0, 9.88131e-324, 3205, 0.646169
4961, 0, 0, 0, 0, 9.88131e-324, 3205, 0.646039
4962, 0, 1, 0, 0, 9.88131e-324, 3206, 0.64611
4963, 0, 1, 1, 0, 9.88131e-324, 3207, 0.646182
4964, 0, 0, 0, 0, 9.88131e-324, 3207, 0.646052
4965, 0, 1, 0, 0, 9.88131e-324, 3208, 0.646123
4966, 0, 1, 0, 0, 9.88131e-324, 3209, 0.646194
4967, 0, 1, 0, 0, 9.88131e-324, 3210, 0.646265
4968, 0, 1, 0, 0, 9.88131e-324, 3211, 0.646337
4969, 0, 1, 0, 0, 9.88131e-324, 3212, 0.646408
4970, 0, 1, 0, 0, 9.88131e-324, 3213, 0.646479
4971, 1, 0, 1, 0, 9.88131e-324, 3213, 0.646349
4972, 1, 1, 0, 0, 9.88131e-324, 3214, 0.64642
4973, 0, 1, 0, 0, 9.88131e-324, 3215, 0.646491
4974, 0, 1, 0, 0, 9.88131e-324, 3216, 0.646562
4975, 1, 0, 1, 0, 9.88131e-324, 3216, 0.646432
4976, 0, 0, 0, 0, 9.88131e-324, 3216, 0.646302
4977, 0, 1, 0, 0, 9.88131e-324, 3217, 0.646373
4978, 1, 0, 1, 0, 9.88131e-324, 3217, 0.646243
4979, 0, 0, 0, 0, 9.88131e-324, 3217, 0.646114
4980, 0, 1, 0, 0, 9.88131e-324, 3218, 0.646185
4981, 0, 1, 0, 0, 9.88131e-324, 3219, 0.646256
4982, 0, 1, 0, 0, 9.88131e-324, 3220, 0.646327
4983, 0, 1, 0, 0, 9.88131e-324, 3221, 0.646398
4984, 0, 1, 0, 0, 9.88131e-324, 3222, 0.646469
4985, 0, 1, 0, 0, 9.88131e-324, 3223, 0.64654
4986, 1, 0, 1, 0, 9.88131e-324, 3223, 0.64641
4987, 0, 0, 0, 0, 9.88131e-324, 3223, 0.64628
4988, 1, 0, 1, 0, 9.88131e-324, 3223, 0.646151
4989, 1, 1, 0, 0, 9.88131e-324, 3224, 0.646222
4990, 1, 0, 0, 0, 9.88131e-324, 3224, 0.646092
4991, 0, 1, 1, 0, 9.88131e-324, 3225, 0.646163
4992, 0, 0, 0, 0, 9.88131e-324, 3225, 0.646034
4993, 1, 0, 0, 0, 9.88131e-324, 3225, 0.645904
4994, 0, 1, 0, 0, 9.88131e-324, 3226, 0.645975
4995, 1, 0, 0, 0, 9.88131e-324, 3226, 0.645846
4996, 0, 1, 0, 0, 9.88131e-324, 3227, 0.645917
4997, 0, 1, 0, 0, 9.88131e-324, 3228, 0.645988
4998, 0, 1, 0, 0, 9.88131e-324, 3229, 0.646058
4999, 1, 0, 0, 0, 9.88131e-324, 3229, 0.645929
5000, 1, 0, 1, 0, 9.88131e-324, 3229, 0.6458
5001, 0, 0, 1, 0, 9.88131e-324, 3229, 0.645671
5002, 0, 0, 0, 0, 9.88131e-324, 3229, 0.645542
5003, 0, 1, 0, 0, 9.88131e-324, 3230, 0.645613
5004, 0, 1, 0, 0, 9.88131e-324, 3231, 0.645683
5005, 0, 1, 0, 0, 9.88131e-324, 3232, 0.645754
5006, 0, 1, 0, 0, 9.88131e-324, 3233, 0.645825
5007, 0, 1, 0, 0, 9.88131e-324, 3234, 0.645896
5008, 1, 0, 0, 0, 9.88131e-324, 3234, 0.645767
5009, 0, 1, 0, 0, 9.88131e-324, 3235, 0.645837
5010, 0, 1, 0, 0, 9.88131e-324, 3236, 0.645908
5011, 0, 1, 0, 0, 9.88131e-324, 3237, 0.645979
5012, 1, 0, 1, 0, 9.88131e-324, 3237, 0.64585
5013, 0, 0, 1, 0, 9.88131e-324, 3237, 0.645721
5014, 0, 0, 0, 0, 9.88131e-324, 3237, 0.645592
5015, 1, 0, 1, 0, 9.88131e-324, 3237, 0.645464
5016, 0, 0, 1, 0, 9.88131e-324, 3237, 0.645335
5017, 0, 0, 1, 0, 9.88131e-324, 3237, 0.645206
5018, 0, 0, 0, 0, 9.88131e-324, 3237, 0.645078
5019, 0, 1, 0, 0, 9.88131e-324, 3238, 0.645148
5020, 0, 1, 0, 0, 9.88131e-324, 3239, 0.645219
5021, 0, 1, 0, 0, 9.88131e-324, 3240, 0.64529
